target,sentence,polarity
テレワーク,僕はテレワーク反対派ですよ。働きたくないのでそもそもワークが無理です。やりたい人だけ頑張ってください,negative
ベーシックインカム,ベーシックインカムは、賛成反対の前に可能性についてもっと論じ合ってもらいたいと思う今日この頃。,neutral
ベーシックインカム,ベーシックインカムを導入すると人は働かなくなると懸念されてるけど、人が下手に働くと資源を浪費したり環境破壊につながるから「働かない」ってことはそんなに悪いことではないんじゃないか。月10万程度配ったくらいで働かなくなる人は、欲が少なく浪費しない人間として評価していいのでは。,positive
ベーシックインカム,"希有な例としては私が居ますかね。
私は、私が働くためにベーシックインカムを、一律給付を希望しています。
その効果があることは、10万円一律給付の時に経験しましたので信じています。

法人税、所得税、消費税、社会保険廃止では赤字で仕事を続けることはできないですけれど、BIならできます。",positive
ベーシックインカム,ベーシックインカム賛成派だったのだけれどこういう話を聞くと考えなしに賛成もまずいなって思う,negative
ベーシックインカム,ライドシェア、自動運転ときたら、次は、いよいよ、ベーシックインカム制度の議論かな この話も10年前から言われていた話なんだよね～,neutral
ベーシックインカム,月7万円程度の（限定的な）ベーシックインカムなら労働から開放されることはないし、労働市場の低賃金化を懸念しないとだめだと思いますよ,negative
ベーシックインカム,基本的にベーシックインカムはすべての社会保障を廃止縮小し、ベーシックインカムに一元化させる意図を含んでいます。ベーシックインカムの最大の問題点。,negative
ベーシックインカム,"今の日本の問題は、「消費者がお金を持っていない」というただそれだけの話なんだよね。消費者にお金がないからどんなに魅力的な商品を作っても売れない。需要がないから投資が起こらない。
ベーシックインカムは直接的にこの問題を解決するので、正しい方法なんだろう。",positive
ベーシックインカム,"ベーシックインカムがもたらす三つの経済効果

◎貨幣の量を適度に増やすので景気が良くなり税収も増える。

◎ブラック企業がなくなり高待遇の仕事ばかりになるので裕福な人が増える。

◎貧困がなくなり全ての人が自由に活動できるので様々な方法で金儲けを試みることができる。",positive
ベーシックインカム,"ベーシックインカムに賛成であれ反対であれ、これが宗教に見えるのなら、もっと経済のことを知ったほうがいい。
世界の経営者や学者たちがベーシックインカムを口にするのはけっして宗教上の理由からではない。
彼らがなぜベーシックインカムが必要というのかよく考えて見てほしい。",neutral
ベーシックインカム,"↓COVID後の世界の不公平を解消するための答えはベーシックインカムだ、と宣伝するWEF。

「ベーシックインカム」なんか、安易に賛成したら危険だよ。

働かずして収入を得る（不労収入）なんて、本来、あってはならない話。

全て無料で提供されるべき、なんて典型的な「甘い餌」",negative
ベーシックインカム,"何もベーシックインカムのメリットが思いつかない。

全て最低賃金をあげることで解決する気がするんだよな。

ベーシックインカム 賛成派の人間！！！
ベーシックインカムのメリットを教えてくれ！！！！！",negative
ベーシックインカム,ベーシックインカムは不公平を緩和するかも知れないけれど、逆に加速させかねない危険もあると僕は思っている。「必要最低限の衣食住」のレベルは一定ではなく社会状況に応じて変化するものだし、「必要最低限」を身の丈にあった幸せと享受するとは限らない。,negative
ベーシックインカム,"数年前のベーシックインカムの講演会で現職の公務員で賛成という人がいた。
理由は、何かするにも（例えば失業給付などでしょうか）ものすごくコストがかかるということを言っていた。
多くの公務員の方は、ベーシックインカムに賛成なのか知りたいですね。
反対ならばその理由を知りたいですね",neutral
ベーシックインカム,そもそも鬱の原因や引き起こす物質は分かったらしいから、今後鬱で苦しむ人は改善されていくんだろうな。それでも社会に適応できなかったりコミュ力なさすぎてどうにも働けない人はどうしてもいるから、ベーシックインカムに賛成ではあるのね。でもネット活用して1人ででも稼ぐ方法見つけてほしいな,positive
ベーシックインカム,ベーシックインカムに賛成ですか？,neutral
ベーシックインカム,ベーシックインカム導入に賛成な人の展開する議論とそうでない人の議論がどうしてもギャップが出るのはそれはそれで意味がある事。その意味で、議論始める前にベーシックインカムに賛成か、反対かの態度を鮮明にした方が聞く方からすれば議論の展開を追いやすい。,neutral
ベーシックインカム,"ベーシックインカムで働かなくて済む！お金はAIが稼いでくれる！って本気で言ってる人がいたけど、
それって資本主義社会の日本だと、限りなく相性が悪いと思うんだが。
AIが稼ぐって言っても、具体的にどうやって？
馬鹿でも分かるように説明してくれよ",neutral
ベーシックインカム,"この定義であれば、私の立場は明確にベーシックインカム反対だ。

時限的給付は賛成だが、恒久的であれば意味が違う。",negative
ベーシックインカム,"ベーシックインカム賛成
一生懸命働いてる人が不公平？
そう思うってことは、働きたくないって心の何処かで思ってる証拠では？働きたくないなら休めばいい
世間体が気になる？それは自分の問題。自分が世間体気になるから無理して働いて、不公平だからベーシックインカムは辞めろ！って自己中心的",positive
ベーシックインカム,"ベーシックインカムの問題点は、実質所得は変わらないため所得再分配効果が薄いため、貧困対策にもならないし景気対策にもならないことだ。
労働意欲喪失、名目所得増によって、ベーシックインカム分だけ物価が上昇するため生活水準は結局向上しない。",negative
ベーシックインカム,"生活保護、年金廃止のベーシックインカム賛成
ケースワーカーもいらん仕事減るし
不正がなくなりますね",positive
ベーシックインカム,ベーシックインカム導入で、社会保障費削減か制度が消えるというような懸念があって議論がなかなか進まない。ならば根本の医療費が高過ぎか過剰ではないか、現状の年金制度は今後どうなるのかという議論も併せてしてみてはどうか。,neutral
ベーシックインカム,"ベーシックインカムについては以前は賛成寄りだったんですが、今は反対寄りの考えになってきました。
給付自体は必要だと思うんですが、もしベーシックインカムが実現すると「ほら、金は配ったぞ。後は自分でなんとかしろ」みたいに、行政がめちゃんこ雑になりそうでこわい。",negative
ベーシックインカム,"ベーシックインカム賛成です。
ベーシックインカムで解決される事がどれだけ沢山あるか。
デメリットの方が思い当たらないです。",positive
マイナンバーカード,"マイナンバーカードは便利だし個人的には賛成で保有している。確定申告もマイナンバーカードを利用してのe-Taxは楽すぎる。

これからあと一か月で確定申告の時期だけど、混雑するだろう税務署なんて怖くて近寄れませんわ。",positive
マイナンバーカード,はあ、なんで迅速な給付ができないのがマイナンバーカードの問題になるわけ。給付行政の失敗を国民のマイナンバーカード取得の問題に論点ずらししている。,neutral
マイナンバーカード,"マイナンバーカードに保険証を紐付けるのを反対する人達の声が大きいんでしょうね
日本人ならメリットしかないのに",positive
マイナンバーカード,マイナンバーカードもマイナ保険証も便利やし反対してる理由が分かんないです。むちゃ便利ですよ！,positive
マイナンバーカード,健康保険証の原則廃止。マイナンバーカードに全ての情報を。個人的には紐付けにはメリットデメリットあって。紛失、個人情報漏洩は怖い。保険証も会社代われば変わるし。まだざっくりとした方針で、国を信頼できないってのが1番のネックかな。みんなはどう思う？,neutral
マイナンバーカード,暇だからマイナンバーカードの電子証明書の更新に行ってくる！早めの行動！,neutral
マイナンバーカード,"私、マイナンバーカードに対しては賛成なんだよね。
免許証と保険証一緒ならそれと少しの現金だけ持ってればいいし。ポイントカードは持ってないから。電子ポイントカードはあるけど。",positive
マイナンバーカード,運転免許証とマイナンバーカードはそれぞれ目的が違う。健康保険証もそうだが、一体にする必要性がわかりません。住民にとってどういうメリットがあり、どういうデメリットがあるかもよく分からないことを、なぜ議論も無く進めようとするのか。マイナンバーカードを持たせることが目的化していないか？,neutral
マイナンバーカード,"マイナンバーカードと公金受取口座登録を増やしたいのであれば、「給付金をマイナンバーカード経由で公金受取口座にだけ支払います」ってのをやればいいと思う。
謎のマイナンバーカード普及キャンペーンにお金使うよりはよっぽど効果的だし、本来の使い方だと思う。",neutral
マイナンバーカード,マイナンバーカードに否定的な意見があるのも承知ですが私は賛成です。情報漏洩などセキュリティ問題は別個に対策を講じるべきです。,positive
マイナンバーカード,マイナンバーカードが身分証明書になるといっても、免許証みたいに番号を控えたり、コピーできるものじゃないのだから、いくらでも悪用できそう。その道のプロなら偽造カードも簡単に作れるじゃないの？これじゃマイナスカードだよ。,negative
マイナンバーカード,"やっと自治体に3回接種が反映されたー。
接種証明、マジで簡単に取得できるから、マイナンバーカードある人はこのアプリ使うと良いよ",neutral
マイナンバーカード,マイナンバーカードとマイナンバー制度を混同しているツイートを良く見かけるが、種々の個人情報との紐付けは本来マイナンバーカードが無くても出来る。カードそのものというより公的個人認証制度を普及させたいんだろうけど、マイナンバーカード普及というと論点がずれる気がする。,neutral
マイナンバーカード,"マイナンバーとマイナンバーカードの活用に消極的な人達には後暗いものがあると思う。

お金との紐づけでお金の可視化がされ、資産との紐づけで財産の可視化がされる。

これらを否定する根拠がないないなら賛成すべきはマイナンバーとマイナンバーカードの紐づけの普及促進!!",positive
マイナンバーカード,マイナンバーカードが自動車運転免許証の機能を持つことは、便利になって賛成なんだけど、だからといって自動車運転免許証を廃することには反対。マイナンバーカードを失くせば、本人確認の手段がなくなってしまうから,positive
マイナンバーカード,"自分は医療費高騰で社会保険料が上がるのを少しでも減らせるマイナンバーカードの導入は必要だと思いますし、ジェネリックの推進と薬品価格の適正化(現在は低過ぎ)も必要だと思います。
不要な検査や不適切な処方を患者から要求されても拒否する事も大切だと思います",positive
マイナンバーカード,"便利になればなるほど、リスクも大きくなる。
マイナンバーカードは要らない。",negative
マイナンバーカード,"今、報ステで、
朝日新聞記者が出演し、マイナンバーカードを作れば、免許証、健康保険証、スマホ、銀行口座と紐付けられ利用者にとってメリットが大きいと言っていた。
国民は政府に個人情報を握られ、どのような目に合わされるか分からないのに、デメリットは全くないかのような言い振り。

大嘘だ。",negative
マイナンバーカード,"『将来的には国内でもオンライン投票の導入を検討したいと意欲を示しました。オンライン投票の実施にはマイナンバーカードを活用する考えです。』
それ、誰が誰に入れたかわかるってことかな。",neutral
マイナンバーカード,役所で、転入届。しかし、マイナンバーカードは、役所の仕事と、個人の仕事を増やすだけで、ブルシットジョブを作り出すだけのクソでしかない。合理化すべてに賛成ではないが、合理化にも何も寄与していない。もう、こんなものやめるべきだろうね。,negative
マイナンバーカード,"色々言われているマイナンバーカードですが、私は基本的に賛成です
マイナンバーカードによる利便性と情報漏洩のリスクは分けて考える必要があると思います
デジタル通貨もドローンも自動運転もクラウドも情報漏洩のリスクや脆弱性に関する危険性はありますけど、全部否定したら日本だけ取り残されます",positive
マイナンバーカード,マイナンバーカード廃止賛成！,negative
マイナンバーカード,マイナンバーカードに反対じゃあないんだけどなあ、僕は。年金をまずちゃんと管理してほしい。あと、銀行口座の管理にマイナンバーが必須になるんだったら、海外在住の日本人にもマイナンバーを発行して欲しい。,neutral
ライドシェア,ライドシェアを利用した事ない人は安いけど質が低いと勘違いしてる人多いけど ①乗る前にドライバー情報確認（評価の低い車には乗らないも可）②乗る前から金額も決まってる（事前カード決算）③万が一のトラブルは直ぐに運営会社に報告  など結果タクシーより質は高く、消費者にはメリットしかないの,positive
ライドシェア,ライドシェアに既存のハイタク事業者が反発するのは、近年のバス業界が安全面と経営面で何が起こったか、身近でずっと見てきたこともあると思うよ。ライドシェア賛成の論者は、その反発というか疑問と不安に答えられるだけの理論を持ち合わせていないように見受けられる。,neutral
ライドシェア,ライドシェアに関しては賛成でも反対でもなかったがライドシェアを日本に取り込む事により性犯罪が増えるという見解があり、反対派になった。これ以上性犯罪を増やしてはいけない。,negative
ライドシェア,"アメリカの司法が
「ライドシェアは詐欺的な仕組みで正当な賃金を奪い取ってきた」
と断定したからライドシェアはもう終わりですよ。
もはやライドシェア推進派が好きな「世界ではライドシェアが普通、日本は遅れてる」
という論調も通用しません。",negative
ライドシェア,交通空白地域のウーバーのライドシェアは賛成。過疎地域の高齢者の足の問題に寄与していると思う。,positive
ライドシェア,僕はライドシェア解禁賛成派ですが決してタクシーを敵視しているわけではありません。以前からタクシー全体のイメチェンが最重要課題だと伝えてきましたが、乗務員だけでなく利用者の理解・協力も必要です。そういう意味でも利用者の選択肢が増えることはいいことだと思っています。,positive
ライドシェア,"あなたが自分の仕事を奪われそうになったら黙っていられますか？

顔も住所も現在地も分かっていても、事件は未然に防げませんよね？
ライドシェアの危険性は交通事故だけでは済まされませんよ？？

ライドシェアは安物買いの銭失いにしか過ぎないと思いますけど。",negative
ライドシェア,ライドシェア反対署名の件がRTで回ってきた。どうにも日本の場合、ライドシェアによって海外で何が起きたか、ちゃんと分析されないまま、「労働搾取的」であることや「白タク」であることへの批判が先に立っている気がする。（単に賛成ではないです、念のため）,neutral
ライドシェア,"元バスドライバーからのメッセージ
ライドシェアには利用者、ドライバー共にメリットがある一方で、サービスの質の担保、事故への補償、ドライバーの教育などの課題がある。全体としてはデメリットの方が大きい。",negative
ライドシェア,タクシー運転手の仕事はこれから無くなるって確実に。時代は変わっていく。気持ちはわかるが、そーゆ時代。そして新しい技術、文化技、発展してくのだよ。白タク、ライドシェア賛成。,positive
ライドシェア,"シンガポールはGrabというアプリで
タクシーもライドシェアも両方呼べる

ライドシェアがつかまらなければ、タクシーを呼ぶので
タクシーにもメリットある
実際タクシー乗る回数増えた
サービス良ければタクシー選ぶし",neutral
ライドシェア,"いつもそうだけど、やる事を前提にした議論は無意味。
ライドシェアを行った場合に、どのようなメリット・デメリットがあるかを議論すべし！！",neutral
ライドシェア,ライドシェアについて、経済産業省は推進の立場で、国土交通省は反対の立場のようだが、省庁で意見が別れているのも何となく分かる。ライドシェアが必要とされているケースもあれば、参入させるべきではないケースもあるため、どちらが正しいというものでもないのではと思う。,neutral
ライドシェア,ライドシェアの便利さを知ると、離れられなくなるけど、タクシーはタクシーでメリットがあるので甲乙付けがたい。,neutral
ライドシェア,タクシーのライドシェアに賛成の立場の方って、タクシーのどこに不満なのかなと？　値段は、安全を担保するために基準がさざめられているし。タクシーの規制緩和で、増車して供給過多になって、その後、減車のされるケースもあります。（例:新潟市内の営業エリア）,neutral
ライドシェア,タクシー不足で話題のライドシェアの解禁論ですが、あなたはどう思いますか？(ライドシェアは一般の人が自家用車で有料で人を運ぶこと。現在、日本ではタクシー業界の反対で禁止されている),neutral
ライドシェア,ライドシェア賛成反対とかテレビでやってたけど賛成なら使えばええし反対なら使わなければええ。わからんならやめとけ,neutral
ライドシェア,良くも悪くもトヨタがライドシェアをやるって決めたら、日本は一気にライドシェア解禁に動くんだろうな。,neutral
ライドシェア,"何度も言うけど。

ワシはライドシェアは賛成派！

違法タクシーは大嫌い！！

これは変わらん。

寧ろ違法タクシーなんか全部滅ぶべきやとさえ思ってる。

警察とタクセンも動けよ。
癒着してんのかお前ら。",positive
ライドシェア,"ライドシェアの解禁は殆ど費用をかけずに実行できる環境重視策。他国でライドシェアを実際に使った経験からも大多数の人にはメリットしかない。

一方で業界の反対やゼロリスク信仰などやらない言い訳もゴマンとある。

ライドシェアを解禁しない限りは国の環境重視策などまやかしでしかない。",positive
ライドシェア,素人が運転する車にお金を払って乗せてもらうライドシェア導入に反対します,negative
ライドシェア,"ライドシェアが今検討されてるけど、導入は賛成派です。
ウーバータクシーを主に使ってるけど行き先も事前に指定して言葉の壁を感じ無いし、料金や目的地までの経路も明朗会計で安心ですよね。
現在地点に迎えに来てくれるし。",positive
ライドシェア,なので、過疎地こそUberなどライドシェアを解禁すべきなんですよね。タクシー会社は赤字になるので過疎地に営業所なんてつくれないですから。,positive
ライドシェア,"カスみたいな煽り運転と、暴走老人の運転が話題になってるのにライドシェアなんて賛成できない。
事故、高額請求、性被害、勧誘、
喧嘩これだけでも簡単に想像つく
つか
知らない人の車に乗っちゃダメって習ってる",negative
選択的夫婦別姓,"「自分は結婚したら相手と同じ名字にしたい」と「選択的夫婦別姓に賛成」はダブルスタンダードではなくて普通に両立すること  前者は個人の意思で、後者は他人の意思を尊重することだからです
選択的夫婦別姓に賛成か反対かは、他人の意思を尊重するか否か",positive
選択的夫婦別姓,むしろ選択的夫婦別姓に何のメリットがあるんですか？,negative
選択的夫婦別姓,選択的夫婦別姓の反対意見で改姓できる人と結婚すればいいというのを見たけど、改姓できない、したくない人の方が多いよな、現に結婚した男性の95%は改姓していないわけだし、改姓できる男性と結婚できる女性は限りなく少ない,positive
選択的夫婦別姓,たとえば「夫婦別姓」の問題は「選択的夫婦別姓」の賛否へと流れが移行しているなかで、「配偶者の姓になることを喜ぶひとを否定している」という周回遅れの論点がまた出てきたりするのがじっさいで、その話はもう終わってんだろうと思うんだけど、そこから次に進めていないひともいるところが難しい。,neutral
選択的夫婦別姓,選択的夫婦別姓に反対するということは、夫婦の片側、多くは女性に改姓の不便を押し付けておきたいということになるけど、思いやりのある人はそんなことはしないよな、女男どちらも改姓の不便を負わない選択ができる,positive
選択的夫婦別姓,選択的夫婦別姓について、今言われている選択的夫婦別姓のメリットは、職場の通称使用選択を可能にすることを義務化すれば、ほぼ解決できるような気がするので、あえて導入する必要があるのだろうかと思う。,negative
選択的夫婦別姓,個人ごとの戸籍になろうがなるまいが、選択的夫婦別姓は必要だから、早く実現してほしい,positive
選択的夫婦別姓,"選択的夫婦別姓なんてリスクだらけですよ。
子どもの名字は？
兄弟でバラバラの名字になるのか？
学校でいじめが起きないか？
離婚率の増加に繋がらないか？
同氏の人が攻撃されるのではないか？
家族を識別できなくならないか？
様々な手続きが混乱しないか？

リスクに適う利益があるとは思えない。",negative
選択的夫婦別姓,選択的夫婦別姓に伴って発生するであろうデメリットを言うたびに、寄ってたかって否定してくるのが気持ちが悪い――メリットとデメリットを明らかにしたうえで、国民の判断を仰ぐべきだろうに。,neutral
選択的夫婦別姓,"選択的夫婦別姓制の１番の問題点は、子供が両親と同じ姓を名乗ることが不可能になること。

次に、両親どちらの姓を名乗らせるかで100%もめること。

そして、どちらの姓にするか結論がでないことは確定しています。",negative
選択的夫婦別姓,例えば、「選択的夫婦別姓制」について、ジャーナリズムの役割は、それを推進する立場で報道することではない。反対する立場で論陣を張ることでもない。賛成、反対のどちらの考えに対しても、その利点、問題点を冷静に分析し、報じることである。結論を出すのは読者、視聴者であり、有権者なのだ。,neutral
